txn_date,value_date,narration,debit,credit,balance,channel,reference,currency
01/03/2026,01/03/2026,SALARY CREDIT - FEB 2026,,"85,000.00","1,25,000.55",NEFT,NEFT78211,INR
01/03/2026,01/03/2026,UPI TO HOUSE RENT GREEN RESIDENCY,"22,000.00",,"1,03,000.55",UPI,UPI99817,INR
02/03/2026,02/03/2026,EMI-HDFC HOME LOAN,"15,000.00",,"88,000.55",NACH,NACH9911,INR
02/03/2026,02/03/2026,TERM INSURANCE PREMIUM,"2,450.00",,"85,550.55",NETBANKING,INS7710,INR
03/03/2026,03/03/2026,ZOMATO*ORDER#A11,"780.00",,"84,770.55",CARD,POS8891,INR
03/03/2026,03/03/2026,UBER TRIP MUMBAI,"349.50",,"84,421.05",UPI,UPI21317,INR
04/03/2026,04/03/2026,AMAZON INDIA PAYMENTS,"4,299.99",,"80,121.06",CARD,POS4411,INR
04/03/2026,04/03/2026,INT CREDIT SAVINGS A/C,,"162.83","80,283.89",BANKINT,INT7712,INR
05/03/2026,05/03/2026,DMART SUPERMARKET,"3,921.60",,"76,362.29",CARD,POS1301,INR
05/03/2026,05/03/2026,ATM CASH WITHDRAWAL SBI,"5,000.00",,"71,362.29",ATM,ATM2201,INR
06/03/2026,06/03/2026,JIO FIBER BILL,"999.00",,"70,363.29",UPI,UPI40013,INR
06/03/2026,06/03/2026,FASTAG RECHARGE NHAI,"1,000.00",,"69,363.29",UPI,UPI40012,INR
07/03/2026,07/03/2026,RESTAURANT-BANDRA DINNER,"1,480.00",,"67,883.29",CARD,POS9912,INR
07/03/2026,07/03/2026,MEDICAL PHARMACY APOLLO,"1,245.35",,"66,637.94",CARD,POS9281,INR
08/03/2026,08/03/2026,CC BILL PAYMENT HDFC,"7,100.00",,"59,537.94",NETBANKING,CCBILL10,INR
08/03/2026,08/03/2026,REFUND - AMAZON INDIA,,"1,499.00","61,036.94",CARD,RFND8821,INR
09/03/2026,09/03/2026,TRAVEL BOOKING AIRLINE,"5,540.00",,"55,496.94",CARD,POS3328,INR
09/03/2026,09/03/2026,INTERNET BILL JIO,"999.00",,"54,497.94",UPI,UPI40014,INR
10/03/2026,10/03/2026,GROCERY SUPER MART,"3,120.40",,"51,377.54",CARD,POS1302,INR
10/03/2026,10/03/2026,UPI TO FRIEND SPLIT BILL,"850.00",,"50,527.54",UPI,UPI77881,INR
