date,description,amount
2026-03-01,Salary credited,85000
2026-03-02,Monthly house rent,-22000
2026-03-03,Electricity bill,-2600
2026-03-04,Swiggy order,-780
2026-03-05,Uber ride,-340
2026-03-06,Amazon purchase,-4200
2026-03-08,Home loan EMI,-15000
2026-03-10,Grocery store,-3900
2026-03-12,Internet recharge,-999
2026-03-15,Freelance payment,12000
2026-03-18,Flight booking,-5500
2026-03-20,Restaurant dinner,-1450
2026-03-21,Credit card bill,-7000
2026-03-24,Water bill,-850
2026-03-26,Fuel station,-2800
2026-03-27,Refund from merchant,1500
